Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cory Joseph,PG,29,DET,19,11,26.4,4.7,9.3,.506,0.7,2.0,.368,3.9,7.3,.543,.545,1.9,2.2,.878,0.5,2.6,3.2,5.5,1.2,0.5,1.8,2.2,12.0
Frank Kaminsky,C,27,PHO,47,13,15.2,2.6,5.5,.471,0.7,1.8,.365,1.9,3.7,.523,.531,0.8,1.3,.617,0.8,3.2,4.0,1.7,0.3,0.4,0.5,1.5,6.6
Luke Kornet,C,25,BOS,18,2,14.1,1.9,4.1,.473,0.5,2.0,.250,1.4,2.1,.684,.534,0.1,0.1,.500,0.7,2.2,2.9,1.1,0.1,1.4,0.3,1.1,4.4
Jalen Lecque,PG,20,IND,4,0,3.0,0.3,2.3,.111,0.0,0.3,.000,0.3,2.0,.125,.111,0.8,0.8,1.000,0.5,0.8,1.3,0.5,0.0,0.0,0.0,0.0,1.3
Saben Lee,PG,21,DET,48,7,16.3,2.1,4.4,.471,0.2,0.5,.348,1.9,3.9,.487,.490,1.3,1.9,.685,0.4,1.6,2.0,3.6,0.7,0.3,1.1,1.6,5.6
Alex Len,C,27,TOT,64,42,15.3,2.7,4.3,.615,0.1,0.4,.320,2.5,4.0,.644,.629,1.1,1.8,.629,1.2,2.8,4.1,0.8,0.3,1.0,0.9,2.0,6.6
Alex Len,C,27,TOR,7,2,10.9,0.7,1.4,.500,0.4,0.9,.500,0.3,0.6,.500,.650,0.4,0.9,.500,0.0,1.6,1.6,0.4,0.1,0.9,1.1,1.4,2.3
Alex Len,C,27,WAS,57,40,15.8,2.9,4.7,.619,0.1,0.3,.263,2.8,4.4,.647,.629,1.2,1.9,.636,1.4,3.0,4.4,0.8,0.3,1.0,0.8,2.1,7.1
Meyers Leonard,C,28,MIA,3,2,9.7,1.0,2.3,.429,1.0,2.3,.429,0.0,0.0,0,.643,0.3,0.7,.500,0.0,2.3,2.3,0.7,0.0,0.0,0.7,1.7,3.3
Kira Lewis Jr.,PG,19,NOP,54,0,16.7,2.4,6.2,.386,0.7,2.2,.333,1.7,4.0,.415,.445,0.8,0.9,.843,0.2,1.1,1.3,2.3,0.7,0.2,0.6,1.6,6.4
Damian Lillard,PG,30,POR,67,67,35.8,9.0,19.9,.451,4.1,10.5,.391,4.9,9.4,.519,.554,6.7,7.2,.928,0.5,3.7,4.2,7.5,0.9,0.3,3.0,1.5,28.8
Kevon Looney,C,24,GSW,61,34,19.0,1.8,3.2,.548,0.1,0.3,.235,1.7,3.0,.578,.558,0.5,0.8,.646,1.9,3.4,5.3,2.0,0.3,0.4,0.6,2.2,4.1
Brook Lopez,C,32,MIL,70,70,27.2,4.6,9.1,.503,1.4,4.0,.338,3.2,5.1,.632,.577,1.7,2.0,.845,1.5,3.5,5.0,0.7,0.6,1.5,0.9,2.1,12.3
Robin Lopez,C,32,WAS,71,9,19.1,3.8,6.0,.633,0.1,0.3,.278,3.7,5.7,.649,.639,1.4,1.9,.723,2.0,1.8,3.8,0.8,0.2,0.6,1.1,1.5,9.0
Kyle Lowry,PG,34,TOR,46,46,34.8,5.7,13.0,.436,2.8,7.2,.396,2.8,5.8,.487,.546,3.0,3.5,.875,0.8,4.6,5.4,7.3,1.0,0.3,2.7,3.1,17.2
Will Magnay,C,22,NOP,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Thon Maker,C,23,CLE,8,0,9.5,1.3,2.3,.556,0.0,0.3,.000,1.3,2.0,.625,.556,1.3,1.4,.909,1.0,1.3,2.3,0.5,0.3,0.5,0.4,0.9,3.8
Théo Maledon,PG,19,OKC,65,49,27.4,3.5,9.4,.368,1.6,4.8,.335,1.9,4.6,.402,.454,1.6,2.1,.748,0.4,2.9,3.2,3.5,0.9,0.2,2.2,1.9,10.1
Karim Mané,PG,20,ORL,10,0,8.8,0.3,1.3,.231,0.1,0.2,.500,0.2,1.1,.182,.269,0.4,0.5,.800,0.1,1.3,1.4,0.4,0.0,0.2,0.3,1.0,1.1
Nico Mannion,PG,19,GSW,30,1,12.1,1.3,3.8,.342,0.7,2.0,.367,0.6,1.8,.315,.439,0.8,0.9,.821,0.2,1.3,1.5,2.3,0.5,0.0,1.0,1.0,4.1
Boban Marjanović,C,32,DAL,33,3,8.2,1.9,3.7,.508,0.0,0.2,.125,1.8,3.5,.535,.512,0.9,1.2,.816,1.4,2.5,3.9,0.3,0.1,0.2,0.4,0.9,4.7
Jeremiah Martin,PG,24,CLE,9,0,8.3,1.0,3.7,.273,0.3,1.3,.250,0.7,2.3,.286,.318,0.1,0.6,.200,0.2,0.6,0.8,0.4,0.6,0.2,0.7,0.1,2.4
Frank Mason III,PG,26,ORL,4,1,19.8,2.3,6.0,.375,0.5,1.3,.400,1.8,4.8,.368,.417,1.3,1.8,.714,0.8,2.3,3.0,3.0,0.0,0.0,1.3,1.8,6.3
T.J. McConnell,PG,28,IND,69,3,26.0,4.0,7.1,.559,0.2,0.7,.313,3.8,6.4,.586,.574,0.5,0.7,.688,0.8,2.9,3.7,6.6,1.9,0.3,2.0,1.6,8.6
JaVale McGee,C,33,TOT,46,2,14.7,3.1,6.1,.511,0.1,0.5,.208,3.0,5.6,.539,.520,1.0,1.5,.657,1.7,3.5,5.2,0.8,0.4,1.2,1.3,2.6,7.3
JaVale McGee,C,33,CLE,33,1,15.2,3.4,6.5,.521,0.2,0.6,.250,3.2,5.9,.549,.533,1.1,1.7,.655,1.6,3.5,5.2,1.0,0.5,1.2,1.4,2.4,8.0
JaVale McGee,C,33,DEN,13,1,13.5,2.5,5.2,.478,0.0,0.3,.000,2.5,4.8,.508,.478,0.6,0.9,.667,1.8,3.5,5.3,0.5,0.2,1.1,1.2,3.2,5.5
Jordan McLaughlin,PG,24,MIN,51,2,18.4,2.0,4.7,.413,0.6,1.8,.359,1.3,2.9,.447,.481,0.5,0.6,.767,0.4,1.7,2.1,3.8,1.0,0.1,1.0,0.9,5.0
De'Anthony Melton,PG,22,MEM,52,1,20.1,3.3,7.6,.438,1.7,4.1,.412,1.6,3.5,.467,.548,0.8,1.0,.804,0.6,2.5,3.1,2.5,1.2,0.6,1.3,1.6,9.1
Chimezie Metu,C,23,SAC,36,6,13.6,2.5,5.0,.508,0.4,1.0,.351,2.2,3.9,.549,.545,0.9,1.2,.721,0.9,2.3,3.1,0.8,0.4,0.5,0.8,1.6,6.3
Patty Mills,PG,32,SAS,68,1,24.8,3.7,9.0,.412,2.4,6.3,.375,1.3,2.7,.500,.544,1.0,1.1,.910,0.3,1.4,1.7,2.4,0.6,0.0,1.0,1.2,10.8
Donovan Mitchell,PG,24,UTA,53,53,33.4,9.0,20.6,.438,3.4,8.7,.386,5.7,11.9,.476,.520,5.0,6.0,.845,0.9,3.5,4.4,5.2,1.0,0.3,2.8,2.2,26.4
Ja Morant,PG,21,MEM,63,63,32.6,6.8,15.2,.449,1.2,3.8,.303,5.7,11.4,.499,.487,4.3,5.9,.728,0.9,3.1,4.0,7.4,0.9,0.2,3.2,1.4,19.1
Monte Morris,PG,25,DEN,47,13,25.4,4.0,8.2,.481,1.1,2.9,.381,2.9,5.4,.534,.547,1.2,1.6,.795,0.2,1.8,2.0,3.2,0.7,0.3,0.7,1.0,10.2
Mychal Mulder,PG,26,GSW,60,6,12.8,2.0,4.4,.449,1.4,3.6,.397,0.6,0.9,.667,.609,0.2,0.4,.636,0.1,0.9,1.0,0.4,0.2,0.2,0.3,0.9,5.6
Dejounte Murray,PG,24,SAS,67,67,31.9,6.6,14.5,.453,0.9,3.0,.317,5.6,11.6,.488,.485,1.6,2.0,.791,0.9,6.2,7.1,5.4,1.5,0.1,1.7,2.0,15.7
Jamal Murray,PG,23,DEN,48,48,35.5,7.9,16.5,.477,2.7,6.6,.408,5.2,9.9,.523,.559,2.8,3.2,.869,0.8,3.3,4.0,4.8,1.3,0.3,2.3,2.0,21.2
Mike Muscala,C,29,OKC,35,0,18.4,3.4,7.6,.446,1.9,5.3,.370,1.5,2.4,.614,.573,0.9,1.0,.917,0.5,3.2,3.8,0.8,0.2,0.3,0.6,1.5,9.7
Raul Neto,PG,28,WAS,64,22,21.9,3.3,7.0,.468,1.0,2.6,.390,2.3,4.4,.512,.539,1.2,1.3,.882,0.4,2.0,2.4,2.3,1.1,0.1,0.8,1.7,8.7
Nerlens Noel,C,26,NYK,64,41,24.2,2.1,3.5,.614,0.0,0.0,.000,2.1,3.4,.623,.614,0.8,1.1,.714,2.2,4.2,6.4,0.7,1.1,2.2,1.0,2.8,5.1
Frank Ntilikina,PG,22,NYK,33,4,9.8,0.9,2.4,.367,0.7,1.5,.479,0.2,0.9,.194,.513,0.2,0.5,.444,0.2,0.8,0.9,0.6,0.5,0.1,0.3,1.4,2.7
Kendrick Nunn,PG,25,MIA,56,44,29.5,5.7,11.8,.485,2.2,5.7,.381,3.5,6.0,.583,.578,1.0,1.1,.933,0.4,2.8,3.2,2.6,0.9,0.3,1.4,1.9,14.6
Jusuf Nurkić,C,26,POR,37,37,23.8,4.6,9.0,.514,0.3,0.8,.400,4.3,8.2,.525,.532,1.9,3.1,.619,2.3,6.6,9.0,3.4,1.0,1.1,2.0,2.8,11.5
Jahlil Okafor,C,25,DET,27,2,12.9,2.3,3.8,.618,0.1,0.3,.222,2.3,3.4,.656,.627,0.6,0.9,.708,0.9,1.6,2.4,0.5,0.2,0.2,0.8,1.4,5.4
Onyeka Okongwu,C,20,ATL,50,4,12.0,1.9,3.0,.644,0.0,0.1,.000,1.9,2.9,.658,.644,0.7,1.1,.632,1.2,2.0,3.3,0.4,0.5,0.7,0.6,2.0,4.6
Kelly Olynyk,C,29,MIA,43,38,26.9,3.8,8.7,.431,1.8,5.7,.317,2.0,3.1,.639,.533,0.7,0.9,.775,1.0,5.0,6.1,2.1,0.9,0.6,1.3,2.9,10.0
Anžejs Pasečņiks,C,25,WAS,1,0,6.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,0,.000,0.0,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0
Justin Patton,C,23,HOU,13,6,19.0,2.2,5.4,.414,0.7,2.6,.265,1.5,2.8,.556,.479,0.2,0.3,.750,1.1,2.7,3.8,1.1,0.9,1.1,0.3,2.6,5.4
Chris Paul,PG,35,PHO,70,70,31.4,6.3,12.6,.499,1.5,3.7,.395,4.8,8.9,.543,.557,2.4,2.6,.934,0.4,4.1,4.5,8.9,1.4,0.3,2.2,2.4,16.4
Cameron Payne,PG,26,PHO,60,1,18.0,3.2,6.6,.484,1.2,2.8,.440,2.0,3.8,.515,.576,0.8,0.9,.893,0.3,2.1,2.4,3.6,0.6,0.3,1.0,1.6,8.4
Elfrid Payton,PG,26,NYK,63,63,23.6,4.3,9.9,.432,0.4,1.6,.286,3.8,8.3,.460,.455,1.2,1.7,.682,1.0,2.4,3.4,3.2,0.7,0.1,1.6,1.8,10.1
Gary Payton II,PG,28,GSW,10,0,4.0,1.0,1.3,.769,0.2,0.4,.500,0.8,0.9,.889,.846,0.3,0.4,.750,0.2,0.9,1.1,0.1,0.6,0.1,0.1,0.8,2.5
Norvel Pelle,C,27,TOT,13,0,6.5,0.6,1.2,.533,0.0,0.0,0,0.6,1.2,.533,.533,0.3,0.5,.667,0.5,1.0,1.5,0.2,0.1,0.7,0.2,1.1,1.5
Norvel Pelle,C,27,SAC,1,0,4.0,0.0,1.0,.000,0.0,0.0,0,0.0,1.0,.000,.000,3.0,4.0,.750,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
Norvel Pelle,C,27,NYK,9,0,5.8,0.6,0.8,.714,0.0,0.0,0,0.6,0.8,.714,.714,0.1,0.2,.500,0.2,1.0,1.2,0.1,0.1,0.7,0.0,0.4,1.2
Mason Plumlee,C,30,DET,56,56,26.8,4.2,6.8,.614,0.0,0.1,.000,4.2,6.7,.626,.614,2.0,3.0,.669,2.6,6.7,9.3,3.6,0.8,0.9,1.9,3.3,10.4
Jakob Poeltl,C,25,SAS,69,51,26.7,3.8,6.2,.616,0.0,0.0,0,3.8,6.2,.616,.616,0.9,1.8,.508,3.2,4.8,7.9,1.9,0.7,1.8,1.2,2.5,8.6
Vincent Poirier,C,27,PHI,10,0,3.9,0.3,1.2,.250,0.0,0.1,.000,0.3,1.1,.273,.250,0.2,0.6,.333,0.6,0.8,1.4,0.2,0.0,0.3,0.4,0.8,0.8
Bobby Portis,C,25,MIL,66,7,20.8,4.7,9.1,.523,1.1,2.4,.471,3.6,6.7,.542,.585,0.8,1.1,.740,1.9,5.2,7.1,1.1,0.8,0.4,0.8,1.7,11.4
Kristaps Porziņģis,C,25,DAL,43,43,30.9,7.6,15.9,.476,2.3,6.0,.376,5.3,9.9,.536,.547,2.7,3.2,.855,1.9,7.0,8.9,1.6,0.5,1.3,1.2,2.7,20.1
Dwight Powell,C,29,DAL,58,19,16.7,2.1,3.3,.619,0.1,0.4,.238,2.0,3.0,.665,.631,1.7,2.1,.782,1.4,2.7,4.0,1.1,0.6,0.5,0.7,2.3,5.9
Immanuel Quickley,PG,21,NYK,64,3,19.4,3.6,9.1,.395,1.8,4.7,.389,1.7,4.3,.401,.497,2.4,2.7,.891,0.4,1.8,2.1,2.0,0.5,0.2,0.9,1.8,11.4
Chasson Randle,PG,27,ORL,41,5,20.4,2.2,5.8,.388,1.1,3.2,.338,1.2,2.6,.449,.481,0.9,1.2,.792,0.2,1.8,2.0,1.8,0.5,0.1,1.1,1.6,6.5
Naz Reid,C,21,MIN,70,15,19.2,4.3,8.3,.523,0.9,2.5,.351,3.5,5.8,.597,.576,1.6,2.4,.693,1.2,3.4,4.6,1.0,0.5,1.1,1.0,2.6,11.2
Grant Riller,PG,23,CHO,7,0,3.9,1.1,1.7,.667,0.3,0.6,.500,0.9,1.1,.750,.750,0.0,0.0,0,0.0,0.1,0.1,0.4,0.1,0.0,0.1,0.0,2.6
Justin Robinson,PG,23,OKC,9,0,9.8,0.8,2.3,.333,0.4,1.6,.286,0.3,0.8,.429,.429,0.3,0.6,.600,0.1,0.7,0.8,1.0,0.3,0.0,0.2,1.1,2.3
Mitchell Robinson,C,22,NYK,31,29,27.5,3.7,5.7,.653,0.0,0.0,0,3.7,5.7,.653,.653,0.8,1.7,.491,3.6,4.5,8.1,0.5,1.1,1.5,0.8,2.8,8.3
Rajon Rondo,PG,34,TOT,45,3,17.1,2.1,4.8,.442,0.8,2.0,.404,1.3,2.8,.468,.526,0.4,0.4,.941,0.4,2.0,2.4,4.4,0.8,0.1,1.8,1.2,5.4
Rajon Rondo,PG,34,ATL,27,2,14.9,1.6,4.1,.400,0.6,1.7,.378,1.0,2.4,.415,.477,0.0,0.1,.500,0.1,1.9,2.0,3.5,0.7,0.1,1.4,0.9,3.9
Derrick Rose,PG,32,TOT,50,3,25.6,5.7,12.2,.470,1.0,2.6,.388,4.7,9.6,.492,.511,2.2,2.5,.866,0.4,2.2,2.6,4.2,1.0,0.4,1.6,1.1,14.7
Derrick Rose,PG,32,DET,15,0,22.8,5.3,12.3,.429,0.9,2.6,.333,4.4,9.7,.455,.465,2.8,3.3,.840,0.4,1.5,1.9,4.2,1.2,0.3,1.9,1.1,14.2
Derrick Rose,PG,32,NYK,35,3,26.8,5.9,12.2,.487,1.1,2.6,.411,4.9,9.6,.507,.530,1.9,2.2,.883,0.4,2.5,2.9,4.2,0.9,0.4,1.4,1.1,14.9
Ricky Rubio,PG,30,MIN,68,51,26.1,2.8,7.3,.388,1.0,3.1,.308,1.9,4.2,.447,.454,1.9,2.2,.867,0.4,2.9,3.3,6.4,1.4,0.1,1.6,2.0,8.6
D'Angelo Russell,PG,24,MIN,42,26,28.5,6.7,15.5,.431,2.9,7.4,.387,3.8,8.1,.471,.523,2.7,3.5,.765,0.4,2.3,2.6,5.8,1.1,0.4,2.7,1.6,19.0
Dario Šarić,C,26,PHO,50,4,17.4,3.1,6.8,.447,0.9,2.7,.348,2.1,4.1,.512,.516,1.7,2.0,.848,0.9,2.9,3.8,1.3,0.6,0.1,1.1,1.9,8.7
Ben Simmons,PG,24,PHI,58,58,32.4,5.6,10.1,.557,0.1,0.2,.300,5.6,9.9,.562,.560,3.0,4.9,.613,1.6,5.6,7.2,6.9,1.6,0.6,3.0,2.9,14.3
Marcus Smart,PG,26,BOS,48,45,32.9,4.2,10.6,.398,1.9,5.9,.330,2.3,4.8,.482,.489,2.7,3.4,.790,0.8,2.7,3.5,5.7,1.5,0.5,2.0,2.6,13.1
Dennis Smith Jr.,PG,23,TOT,23,9,18.3,2.5,6.3,.400,0.8,2.5,.328,1.7,3.8,.448,.466,0.8,1.1,.731,0.5,1.9,2.4,3.3,1.0,0.6,1.1,1.6,6.7
Dennis Smith Jr.,PG,23,NYK,3,0,9.3,0.7,3.3,.200,0.0,1.3,.000,0.7,2.0,.333,.200,1.7,2.0,.833,0.0,0.7,0.7,1.0,1.0,0.0,0.3,1.3,3.0
Dennis Smith Jr.,PG,23,DET,20,9,19.6,2.8,6.8,.415,1.0,2.7,.352,1.9,4.1,.457,.485,0.7,1.0,.700,0.6,2.1,2.7,3.7,1.0,0.7,1.3,1.7,7.3
Ish Smith,PG,32,WAS,44,1,21.0,2.9,6.8,.434,0.4,1.1,.367,2.5,5.6,.448,.465,0.4,0.8,.576,0.5,2.9,3.4,3.9,0.7,0.3,0.9,1.4,6.7
Ray Spalding,C,23,HOU,2,0,9.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,1.0,.000,1.0,1.0,2.0,0.0,0.0,1.0,1.5,1.5,2.0
Isaiah Stewart,C,19,DET,68,14,21.4,3.3,6.0,.553,0.3,0.9,.333,3.0,5.1,.592,.578,0.9,1.4,.696,2.3,4.3,6.7,0.9,0.6,1.3,1.0,2.7,7.9
Jeff Teague,PG,32,TOT,55,7,17.3,2.2,5.2,.433,0.7,1.5,.439,1.6,3.7,.431,.496,1.6,1.9,.848,0.3,1.3,1.6,2.4,0.6,0.2,1.2,1.0,6.7
Jeff Teague,PG,32,BOS,34,5,18.1,2.3,5.5,.415,0.8,1.6,.464,1.5,3.9,.394,.484,1.5,1.8,.836,0.3,1.4,1.7,2.1,0.8,0.2,1.1,1.3,6.9
Jeff Teague,PG,32,MIL,21,2,15.9,2.1,4.6,.469,0.5,1.2,.385,1.7,3.3,.500,.521,1.8,2.1,.864,0.2,1.2,1.5,2.8,0.4,0.2,1.2,0.6,6.6
Tyrell Terry,PG,20,DAL,11,0,5.1,0.5,1.5,.313,0.0,0.6,.000,0.5,0.8,.556,.313,0.1,0.3,.333,0.0,0.5,0.5,0.5,0.5,0.0,0.2,0.2,1.0
Daniel Theis,C,28,TOT,65,51,24.6,3.9,7.2,.541,0.8,2.3,.322,3.1,4.8,.646,.593,1.1,1.7,.673,1.4,4.0,5.5,1.7,0.6,0.9,1.0,2.6,9.6
Daniel Theis,C,28,BOS,42,37,24.5,3.8,6.9,.552,0.8,2.3,.347,3.0,4.6,.653,.609,1.1,1.6,.687,1.3,4.0,5.2,1.6,0.6,1.0,1.0,2.9,9.5
Isaiah Thomas,PG,31,NOP,3,0,16.0,3.0,9.0,.333,1.0,4.0,.250,2.0,5.0,.400,.389,0.7,0.7,1.000,0.3,1.0,1.3,1.7,0.3,0.0,2.0,1.0,7.7
Killian Tillie,C,22,MEM,18,1,10.1,1.1,3.2,.333,0.6,1.8,.303,0.5,1.3,.375,.421,0.5,0.6,.818,0.3,1.0,1.3,0.4,0.3,0.4,0.1,1.1,3.2
Karl-Anthony Towns,C,25,MIN,50,50,33.8,8.5,17.5,.486,2.4,6.3,.387,6.1,11.2,.541,.555,5.3,6.2,.859,2.7,7.9,10.6,4.5,0.8,1.1,3.2,3.7,24.8
Rayjon Tucker,PG,23,PHI,14,0,4.9,0.6,1.3,.500,0.1,0.5,.286,0.5,0.8,.636,.556,1.0,1.4,.737,0.1,0.7,0.8,0.4,0.1,0.0,0.3,0.6,2.4
Myles Turner,C,24,IND,47,47,31.0,4.4,9.2,.477,1.5,4.4,.335,2.9,4.8,.606,.557,2.4,3.0,.782,1.3,5.2,6.5,1.0,0.9,3.4,1.4,3.5,12.6
Jonas Valančiūnas,C,28,MEM,62,61,28.3,7.1,12.0,.592,0.3,0.9,.368,6.8,11.1,.611,.606,2.5,3.3,.773,4.1,8.4,12.5,1.8,0.6,0.9,1.6,2.9,17.1
Anderson Varejão,C,38,CLE,5,0,7.2,0.8,3.2,.250,0.0,0.2,.000,0.8,3.0,.267,.250,1.0,1.8,.556,1.4,2.6,4.0,0.6,0.0,0.4,0.2,0.6,2.6
Gabe Vincent,PG,24,MIA,50,7,13.1,1.8,4.7,.378,0.9,3.0,.309,0.8,1.7,.500,.476,0.4,0.5,.870,0.2,0.9,1.1,1.3,0.4,0.0,0.7,1.6,4.8
Nikola Vučević,C,30,TOT,70,70,33.5,9.5,19.9,.477,2.5,6.3,.400,7.0,13.7,.513,.540,1.9,2.2,.840,2.1,9.6,11.7,3.8,0.9,0.7,1.8,2.0,23.4
Nikola Vučević,C,30,ORL,44,44,34.1,9.9,20.6,.480,2.7,6.5,.406,7.3,14.1,.515,.545,2.1,2.5,.827,2.0,9.8,11.8,3.8,1.0,0.6,1.9,1.8,24.5
Moritz Wagner,C,23,TOT,45,24,16.0,2.3,5.1,.454,0.7,2.0,.341,1.6,3.1,.529,.522,1.6,1.9,.816,0.6,2.6,3.2,1.1,0.6,0.4,1.0,2.4,6.9
Moritz Wagner,C,23,WAS,25,13,15.0,2.5,4.9,.508,0.5,1.7,.310,2.0,3.2,.613,.561,1.6,2.1,.788,0.5,2.4,2.9,1.3,0.9,0.3,0.8,2.5,7.1
Moritz Wagner,C,23,BOS,9,1,6.8,0.4,1.6,.286,0.2,0.7,.333,0.2,0.9,.250,.357,0.1,0.2,.500,0.3,1.8,2.1,0.7,0.0,0.1,1.0,1.1,1.2
Moritz Wagner,C,23,ORL,11,10,26.0,3.5,8.5,.409,1.5,3.9,.372,2.0,4.5,.440,.495,2.6,3.0,.879,1.0,3.9,4.9,1.1,0.4,0.8,1.2,3.3,11.0
Kemba Walker,PG,30,BOS,43,43,31.8,6.6,15.7,.420,3.0,8.2,.360,3.7,7.5,.486,.514,3.1,3.5,.899,0.4,3.6,4.0,4.9,1.1,0.3,2.0,1.4,19.3
John Wall,PG,30,HOU,40,40,32.2,7.3,18.2,.404,2.0,6.2,.317,5.4,11.9,.449,.458,4.0,5.3,.749,0.4,2.8,3.2,6.9,1.1,0.8,3.5,1.2,20.6
Brad Wanamaker,PG,31,TOT,61,0,17.3,1.9,4.9,.385,0.3,1.4,.188,1.6,3.5,.463,.411,1.5,1.7,.891,0.3,1.4,1.7,2.9,0.7,0.2,1.2,1.5,5.5
Brad Wanamaker,PG,31,GSW,39,0,16.0,1.6,4.4,.353,0.3,1.6,.213,1.2,2.9,.429,.390,1.3,1.4,.893,0.2,1.5,1.7,2.5,0.7,0.2,0.9,1.4,4.7
Brad Wanamaker,PG,31,CHO,22,0,19.5,2.5,5.7,.429,0.1,1.1,.125,2.3,4.6,.500,.440,1.8,2.0,.889,0.5,1.3,1.8,3.4,0.8,0.2,1.5,1.8,6.9
Tremont Waters,PG,23,BOS,26,3,9.2,1.3,3.2,.405,0.6,1.5,.395,0.7,1.8,.413,.494,0.6,0.7,.941,0.2,0.6,0.8,2.4,0.6,0.0,1.0,0.7,3.8
Russell Westbrook,PG,32,WAS,65,65,36.4,8.4,19.0,.439,1.3,4.2,.315,7.0,14.8,.475,.474,4.2,6.4,.656,1.7,9.9,11.5,11.7,1.4,0.4,4.8,2.9,22.2
Hassan Whiteside,C,31,SAC,36,4,15.2,3.5,6.2,.563,0.0,0.0,.000,3.5,6.2,.565,.563,1.1,2.2,.519,1.7,4.3,6.0,0.6,0.3,1.3,1.1,2.0,8.1
Lou Williams,PG,34,TOT,66,4,21.6,4.0,9.8,.410,1.0,2.6,.399,3.0,7.2,.414,.464,2.3,2.6,.867,0.3,1.8,2.1,3.4,0.7,0.1,1.6,0.9,11.3
Lou Williams,PG,34,ATL,24,1,21.0,3.5,9.0,.389,1.0,2.3,.444,2.5,6.8,.370,.444,2.0,2.3,.870,0.3,1.8,2.1,3.4,0.3,0.1,1.8,0.8,10.0
Robert Williams,C,23,BOS,52,13,18.9,3.6,5.0,.721,0.0,0.0,.000,3.6,4.9,.727,.721,0.9,1.4,.616,2.6,4.3,6.9,1.8,0.8,1.8,1.0,2.0,8.0
Cassius Winston,PG,22,WAS,22,0,4.5,0.6,1.5,.424,0.4,0.8,.471,0.3,0.7,.375,.545,0.2,0.3,.833,0.0,0.4,0.4,0.5,0.1,0.0,0.2,0.4,1.9
James Wiseman,C,19,GSW,39,27,21.4,4.9,9.4,.519,0.3,1.0,.316,4.6,8.5,.542,.535,1.4,2.2,.628,1.4,4.4,5.8,0.7,0.3,0.9,1.5,3.1,11.5
Christian Wood,C,25,HOU,41,41,32.3,8.0,15.6,.514,1.9,5.0,.374,6.1,10.6,.581,.574,3.0,4.8,.631,1.9,7.8,9.6,1.7,0.8,1.2,2.0,2.1,21.0
Delon Wright,PG,28,SAC,27,8,25.8,3.9,8.3,.462,1.2,3.1,.398,2.6,5.3,.500,.536,1.1,1.3,.833,1.0,2.9,3.9,3.6,1.6,0.4,1.3,1.1,10.0
Trae Young,PG,22,ATL,63,63,33.7,7.7,17.7,.438,2.2,6.3,.343,5.6,11.3,.491,.499,7.7,8.7,.886,0.6,3.3,3.9,9.4,0.8,0.2,4.1,1.8,25.3
Cody Zeller,C,28,CHO,48,21,20.9,3.8,6.8,.559,0.1,0.6,.143,3.7,6.2,.598,.565,1.8,2.5,.714,2.5,4.4,6.8,1.8,0.6,0.4,1.1,2.5,9.4
